"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 09 10:51:46 CST 2023","Tue May 09 10:52:04 CST 2023","18724","core.testcase","test_excel","","","","test_3[名称重复创建个人活动码]",""
"passed","Tue May 09 10:53:45 CST 2023","Tue May 09 10:54:02 CST 2023","16678","core.testcase","test_excel","","","","test_4[正常创建门店活动码]",""
"passed","Tue May 09 10:59:04 CST 2023","Tue May 09 10:59:09 CST 2023","4467","core.testcase","test_excel","","","","test_6[二次模糊查询人群包]",""
"passed","Tue May 09 10:59:23 CST 2023","Tue May 09 10:59:28 CST 2023","4709","core.testcase","test_excel","","","","test_6[查询不存在的人群包]",""
"passed","Tue May 09 10:59:09 CST 2023","Tue May 09 10:59:18 CST 2023","9282","core.testcase","test_excel","","","","test_6[修改人群包]",""
"passed","Tue May 09 10:55:52 CST 2023","Tue May 09 10:56:08 CST 2023","15552","core.testcase","test_excel","","","","test_4[活动码名称不存在查询门店活动码]",""
"failed","Tue May 09 10:57:50 CST 2023","Tue May 09 10:58:06 CST 2023","16665","core.testcase","test_excel","","","","test_5[精准查询活动码]",""
"passed","Tue May 09 10:51:27 CST 2023","Tue May 09 10:51:46 CST 2023","18506","core.testcase","test_excel","","","","test_3[正常创建个人活动码]",""
"passed","Tue May 09 10:57:12 CST 2023","Tue May 09 10:57:31 CST 2023","18927","core.testcase","test_excel","","","","test_5[模糊查询活动码]",""
"passed","Tue May 09 10:58:06 CST 2023","Tue May 09 10:58:27 CST 2023","20605","core.testcase","test_excel","","","","test_5[活动码名称不存在查询活动码]",""
"passed","Tue May 09 10:50:26 CST 2023","Tue May 09 10:50:35 CST 2023","9129","core.testcase","test_excel","","","","test_1[验证互动雷达主页操作栏删除功能]",""
"passed","Tue May 09 10:50:35 CST 2023","Tue May 09 10:50:52 CST 2023","17528","core.testcase","test_excel","","","","test_1[正常修改互动雷达]",""
"passed","Tue May 09 10:56:56 CST 2023","Tue May 09 10:57:12 CST 2023","15822","core.testcase","test_excel","","","","test_5[必填项为空创建活动码]",""
"passed","Tue May 09 10:56:18 CST 2023","Tue May 09 10:56:37 CST 2023","19188","core.testcase","test_excel","","","","test_5[正常创建活动码]",""
"passed","Tue May 09 10:53:03 CST 2023","Tue May 09 10:53:20 CST 2023","16959","core.testcase","test_excel","","","","test_3[精准查询个人活动码]",""
"passed","Tue May 09 10:49:09 CST 2023","Tue May 09 10:49:16 CST 2023","6508","core.testcase","test_excel","","","","test_1[验证输入完整内容多条件查询]",""
"passed","Tue May 09 10:53:35 CST 2023","Tue May 09 10:53:45 CST 2023","9611","core.testcase","test_excel","","","","test_3[删除个人活动码]",""
"passed","Tue May 09 10:50:52 CST 2023","Tue May 09 10:50:59 CST 2023","6536","core.testcase","test_excel","","","","test_1[验证修改内容是否生效]",""
"passed","Tue May 09 10:50:15 CST 2023","Tue May 09 10:50:26 CST 2023","10721","core.testcase","test_excel","","","","test_1[验证重置后查询]",""
"passed","Tue May 09 10:49:28 CST 2023","Tue May 09 10:49:33 CST 2023","5612","core.testcase","test_excel","","","","test_1[验证输入完整内容单条件查询]",""
"failed","Tue May 09 10:54:02 CST 2023","Tue May 09 10:54:21 CST 2023","18915","core.testcase","test_excel","","","","test_4[名称重复创建门店活动码]",""
"passed","Tue May 09 10:49:16 CST 2023","Tue May 09 10:49:22 CST 2023","5709","core.testcase","test_excel","","","","test_1[验证输入部分内容多条件查询]",""
"passed","Tue May 09 10:48:27 CST 2023","Tue May 09 10:48:41 CST 2023","14192","core.testcase","test_excel","","","","test_1[雷达名称重复创建互动雷达]",""
"passed","Tue May 09 10:48:53 CST 2023","Tue May 09 10:49:02 CST 2023","8787","core.testcase","test_excel","","","","test_1[必填项为空创建互动雷达]",""
"passed","Tue May 09 10:52:12 CST 2023","Tue May 09 10:52:26 CST 2023","14132","core.testcase","test_excel","","","","test_3[必填项为空创建个人活动码]",""
"passed","Tue May 09 10:58:55 CST 2023","Tue May 09 10:59:04 CST 2023","8811","core.testcase","test_excel","","","","test_6[删除后重新创建人群包]",""
"passed","Tue May 09 10:52:26 CST 2023","Tue May 09 10:52:47 CST 2023","20315","core.testcase","test_excel","","","","test_3[模糊查询个人活动码]",""
"passed","Tue May 09 10:49:22 CST 2023","Tue May 09 10:49:28 CST 2023","5815","core.testcase","test_excel","","","","test_1[验证输入不存在内容多条件查询]",""
"passed","Tue May 09 10:55:17 CST 2023","Tue May 09 10:55:35 CST 2023","18644","core.testcase","test_excel","","","","test_4[编辑门店活动码]",""
"passed","Tue May 09 10:59:18 CST 2023","Tue May 09 10:59:23 CST 2023","4775","core.testcase","test_excel","","","","test_6[精确查询人群包]",""
"failed","Tue May 09 10:56:37 CST 2023","Tue May 09 10:56:56 CST 2023","19005","core.testcase","test_excel","","","","test_5[名称重复创建活动码]",""
"passed","Tue May 09 10:51:16 CST 2023","Tue May 09 10:51:27 CST 2023","11364","core.testcase","test_excel","","","","test_2[验证席位管理主页导出功能]",""
"passed","Tue May 09 10:52:47 CST 2023","Tue May 09 10:53:03 CST 2023","16378","core.testcase","test_excel","","","","test_3[编辑个人活动码]",""
"passed","Tue May 09 10:58:49 CST 2023","Tue May 09 10:58:55 CST 2023","6503","core.testcase","test_excel","","","","test_6[删除人群包]",""
"passed","Tue May 09 10:58:27 CST 2023","Tue May 09 10:58:37 CST 2023","10002","core.testcase","test_excel","","","","test_5[删除活动码]",""
"passed","Tue May 09 10:49:02 CST 2023","Tue May 09 10:49:09 CST 2023","7269","core.testcase","test_excel","","","","test_1[检验输入框输入内容限制]",""
"passed","Tue May 09 10:49:33 CST 2023","Tue May 09 10:49:38 CST 2023","4753","core.testcase","test_excel","","","","test_1[验证输入部分内容单条件模糊查询]",""
