"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 26 11:01:17 CST 2023","Fri May 26 11:01:33 CST 2023","15563","core.testcase","test_excel","","","","test_1[正常修改互动雷达]",""
"passed","Fri May 26 11:00:23 CST 2023","Fri May 26 11:00:27 CST 2023","4071","core.testcase","test_excel","","","","test_1[验证输入不存在内容多条件查询]",""
"passed","Fri May 26 11:10:32 CST 2023","Fri May 26 11:10:35 CST 2023","3879","core.testcase","test_excel","","","","test_6[二次模糊查询人群包]",""
"passed","Fri May 26 11:10:44 CST 2023","Fri May 26 11:10:47 CST 2023","3884","core.testcase","test_excel","","","","test_6[精确查询人群包]",""
"passed","Fri May 26 11:12:24 CST 2023","Fri May 26 11:12:31 CST 2023","6825","core.testcase","test_excel","","","","test_9[用户信息主页精确查询hq]",""
"passed","Fri May 26 11:00:14 CST 2023","Fri May 26 11:00:18 CST 2023","4409","core.testcase","test_excel","","","","test_1[验证输入完整内容多条件查询]",""
"passed","Fri May 26 11:07:47 CST 2023","Fri May 26 11:07:55 CST 2023","8636","core.testcase","test_excel","","","","test_4[删除门店活动码hq]",""
"passed","Fri May 26 11:00:27 CST 2023","Fri May 26 11:00:31 CST 2023","3697","core.testcase","test_excel","","","","test_1[验证输入完整内容单条件查询]",""
"passed","Fri May 26 11:09:54 CST 2023","Fri May 26 11:10:10 CST 2023","15246","core.testcase","test_excel","","","","test_5[删除活动码创建的门店和个人活动码hq]",""
"passed","Fri May 26 11:04:18 CST 2023","Fri May 26 11:04:31 CST 2023","13382","core.testcase","test_excel","","","","test_3[必填项为空创建个人活动码hq]",""
"passed","Fri May 26 11:06:47 CST 2023","Fri May 26 11:07:03 CST 2023","15553","core.testcase","test_excel","","","","test_4[模糊查询门店活动码hq]",""
"passed","Fri May 26 11:04:51 CST 2023","Fri May 26 11:05:07 CST 2023","16069","core.testcase","test_excel","","","","test_3[编辑个人活动码hq]",""
"failed","Fri May 26 11:03:57 CST 2023","Fri May 26 11:04:15 CST 2023","18031","core.testcase","test_excel","","","","test_3[名称重复创建个人活动码hq]",""
"passed","Fri May 26 11:01:05 CST 2023","Fri May 26 11:01:11 CST 2023","6904","core.testcase","test_excel","","","","test_1[验证重置后查询]",""
"passed","Fri May 26 11:07:17 CST 2023","Fri May 26 11:07:32 CST 2023","14923","core.testcase","test_excel","","","","test_4[精准查询门店活动码hq]",""
"passed","Fri May 26 11:12:15 CST 2023","Fri May 26 11:12:24 CST 2023","9081","core.testcase","test_excel","","","","test_8[用户流失列表不存在内容查询hq1]",""
"passed","Fri May 26 11:05:21 CST 2023","Fri May 26 11:05:37 CST 2023","15668","core.testcase","test_excel","","","","test_3[活动码名称不存在查询个人活动码hq]",""
"passed","Fri May 26 11:01:44 CST 2023","Fri May 26 11:01:53 CST 2023","8590","core.testcase","test_excel","","","","test_1[验证互动雷达主页导出功能]",""
"passed","Fri May 26 11:00:35 CST 2023","Fri May 26 11:00:43 CST 2023","8042","core.testcase","test_excel","","","","test_1[验证添加雷达渠道功能]",""
"passed","Fri May 26 11:10:35 CST 2023","Fri May 26 11:10:44 CST 2023","8149","core.testcase","test_excel","","","","test_6[修改人群包]",""
"passed","Fri May 26 11:02:14 CST 2023","Fri May 26 11:02:47 CST 2023","32444","core.testcase","test_excel","","","","test_2[席位管理主页部分条件模糊查询hq]",""
"passed","Fri May 26 10:59:08 CST 2023","Fri May 26 10:59:41 CST 2023","32484","core.testcase","test_excel","","","","test_1[正常创建互动雷达]",""
"passed","Fri May 26 11:00:04 CST 2023","Fri May 26 11:00:08 CST 2023","4117","core.testcase","test_excel","","","","test_1[必填项为空创建互动雷达]",""
"passed","Fri May 26 11:05:37 CST 2023","Fri May 26 11:05:45 CST 2023","7902","core.testcase","test_excel","","","","test_3[删除个人活动码hq]",""
"failed","Fri May 26 11:11:14 CST 2023","Fri May 26 11:11:22 CST 2023","7442","core.testcase","test_excel","","","","test_7[用户列表部分内容模糊查询hq]",""
"failed","Fri May 26 11:08:13 CST 2023","Fri May 26 11:08:31 CST 2023","17450","core.testcase","test_excel","","","","test_5[名称重复创建活动码hq]",""
"passed","Fri May 26 10:59:41 CST 2023","Fri May 26 10:59:53 CST 2023","12290","core.testcase","test_excel","","","","test_1[雷达名称重复创建互动雷达]",""
"passed","Fri May 26 11:07:55 CST 2023","Fri May 26 11:08:13 CST 2023","17924","core.testcase","test_excel","","","","test_5[正常创建活动码hq]",""
"failed","Fri May 26 11:10:57 CST 2023","Fri May 26 11:11:06 CST 2023","8393","core.testcase","test_excel","","","","test_7[用户列表精确查询hq]",""
"passed","Fri May 26 11:09:30 CST 2023","Fri May 26 11:09:45 CST 2023","15365","core.testcase","test_excel","","","","test_5[活动码名称不存在查询活动码hq]",""
"passed","Fri May 26 11:11:40 CST 2023","Fri May 26 11:11:53 CST 2023","12560","core.testcase","test_excel","","","","test_8[用户流失列表精确查询hq]",""
"passed","Fri May 26 11:10:47 CST 2023","Fri May 26 11:10:51 CST 2023","3636","core.testcase","test_excel","","","","test_6[查询不存在的人群包]",""
"passed","Fri May 26 11:00:43 CST 2023","Fri May 26 11:00:50 CST 2023","6814","core.testcase","test_excel","","","","test_1[验证雷达数据条件查询下拉列表显示雷达渠道选项]",""
"passed","Fri May 26 11:01:53 CST 2023","Fri May 26 11:02:14 CST 2023","21463","core.testcase","test_excel","","","","test_2[席位管理主页精确查询]",""
"passed","Fri May 26 11:12:31 CST 2023","Fri May 26 11:12:39 CST 2023","8160","core.testcase","test_excel","","","","test_9[用户信息主页模糊查询hq]",""
"failed","Fri May 26 11:06:00 CST 2023","Fri May 26 11:06:16 CST 2023","15825","core.testcase","test_excel","","","","test_4[名称重复创建门店活动码hq]",""
"passed","Fri May 26 11:12:52 CST 2023","Fri May 26 11:13:06 CST 2023","13715","core.testcase","test_excel","","","","test_9[用户信息主页重置后查询hq]",""
"passed","Fri May 26 11:12:08 CST 2023","Fri May 26 11:12:15 CST 2023","7177","core.testcase","test_excel","","","","test_8[用户流失列表不存在内容查询hq0]",""
"passed","Fri May 26 11:11:53 CST 2023","Fri May 26 11:12:00 CST 2023","7516","core.testcase","test_excel","","","","test_8[用户流失列表模糊查询hq]",""
"passed","Fri May 26 11:02:47 CST 2023","Fri May 26 11:03:13 CST 2023","26162","core.testcase","test_excel","","","","test_2[验证席位管理主页条件查询导出功能hq]",""
"passed","Fri May 26 11:01:37 CST 2023","Fri May 26 11:01:44 CST 2023","6698","core.testcase","test_excel","","","","test_1[验证删除修改后的互动雷达功能]",""
"passed","Fri May 26 11:07:32 CST 2023","Fri May 26 11:07:47 CST 2023","14681","core.testcase","test_excel","","","","test_4[活动码名称不存在查询门店活动码hq]",""
"passed","Fri May 26 11:10:10 CST 2023","Fri May 26 11:10:15 CST 2023","5625","core.testcase","test_excel","","","","test_6[创建空标签人群包]",""
"passed","Fri May 26 11:03:13 CST 2023","Fri May 26 11:03:40 CST 2023","27011","core.testcase","test_excel","","","","test_2[验证席位管理主页完全导出功能hq]",""
"passed","Fri May 26 11:03:40 CST 2023","Fri May 26 11:03:57 CST 2023","17668","core.testcase","test_excel","","","","test_3[正常创建个人活动码]",""
"passed","Fri May 26 11:08:44 CST 2023","Fri May 26 11:08:59 CST 2023","15538","core.testcase","test_excel","","","","test_5[模糊查询活动码hq]",""
"passed","Fri May 26 11:05:45 CST 2023","Fri May 26 11:06:00 CST 2023","14774","core.testcase","test_excel","","","","test_4[正常创建门店活动码hq]",""
"passed","Fri May 26 11:00:18 CST 2023","Fri May 26 11:00:23 CST 2023","5121","core.testcase","test_excel","","","","test_1[验证输入部分内容多条件查询]",""
"passed","Fri May 26 11:10:51 CST 2023","Fri May 26 11:10:57 CST 2023","6056","core.testcase","test_excel","","","","test_6[批量删除人群包]",""
"passed","Fri May 26 11:11:22 CST 2023","Fri May 26 11:11:30 CST 2023","8129","core.testcase","test_excel","","","","test_7[用户列表不存在内容查询hq]",""
"passed","Fri May 26 11:09:45 CST 2023","Fri May 26 11:09:54 CST 2023","8914","core.testcase","test_excel","","","","test_5[删除活动码hq]",""
"passed","Fri May 26 11:07:03 CST 2023","Fri May 26 11:07:17 CST 2023","14399","core.testcase","test_excel","","","","test_4[编辑门店活动码hq]",""
"failed","Fri May 26 11:11:30 CST 2023","Fri May 26 11:11:40 CST 2023","10403","core.testcase","test_excel","","","","test_7[用户列表重置后查询hq]",""
"passed","Fri May 26 11:05:07 CST 2023","Fri May 26 11:05:21 CST 2023","14835","core.testcase","test_excel","","","","test_3[精准查询个人活动码hq]",""
"passed","Fri May 26 11:10:15 CST 2023","Fri May 26 11:10:19 CST 2023","3683","core.testcase","test_excel","","","","test_6[模糊查询人群包]",""
"passed","Fri May 26 11:00:50 CST 2023","Fri May 26 11:00:58 CST 2023","8320","core.testcase","test_excel","","","","test_1[验证删除雷达渠道功能]",""
"passed","Fri May 26 11:08:59 CST 2023","Fri May 26 11:09:15 CST 2023","15464","core.testcase","test_excel","","","","test_5[编辑活动码hq]",""
"passed","Fri May 26 11:00:08 CST 2023","Fri May 26 11:00:14 CST 2023","5794","core.testcase","test_excel","","","","test_1[检验输入框输入内容限制]",""
"passed","Fri May 26 10:59:53 CST 2023","Fri May 26 11:00:04 CST 2023","10845","core.testcase","test_excel","","","","test_1[二次创建互动雷达]",""
"passed","Fri May 26 11:04:31 CST 2023","Fri May 26 11:04:51 CST 2023","19077","core.testcase","test_excel","","","","test_3[模糊查询个人活动码hq]",""
"failed","Fri May 26 11:12:39 CST 2023","Fri May 26 11:12:52 CST 2023","13412","core.testcase","test_excel","","","","test_9[用户信息主页输入不存在信息查询hq]",""
"passed","Fri May 26 11:10:19 CST 2023","Fri May 26 11:10:24 CST 2023","5484","core.testcase","test_excel","","","","test_6[删除人群包]",""
"passed","Fri May 26 11:01:11 CST 2023","Fri May 26 11:01:17 CST 2023","6034","core.testcase","test_excel","","","","test_1[验证互动雷达主页操作栏删除功能]",""
"passed","Fri May 26 11:01:33 CST 2023","Fri May 26 11:01:37 CST 2023","4195","core.testcase","test_excel","","","","test_1[验证修改内容是否生效]",""
"passed","Fri May 26 11:12:00 CST 2023","Fri May 26 11:12:08 CST 2023","7079","core.testcase","test_excel","","","","test_8[用户流失列表部分模糊查询hq]",""
"passed","Fri May 26 11:09:15 CST 2023","Fri May 26 11:09:30 CST 2023","15190","core.testcase","test_excel","","","","test_5[精准查询活动码hq]",""
"broken","Fri May 26 11:06:16 CST 2023","Fri May 26 11:06:47 CST 2023","31304","core.testcase","test_excel","","","","test_4[必填项为空创建门店活动码hq]",""
"passed","Fri May 26 11:00:58 CST 2023","Fri May 26 11:01:04 CST 2023","6430","core.testcase","test_excel","","","","test_1[验证雷达数据条件查询下拉列表不显示已删除雷达渠道选项]",""
"passed","Fri May 26 11:10:24 CST 2023","Fri May 26 11:10:32 CST 2023","7046","core.testcase","test_excel","","","","test_6[删除后重新创建人群包]",""
"passed","Fri May 26 11:08:31 CST 2023","Fri May 26 11:08:44 CST 2023","12952","core.testcase","test_excel","","","","test_5[必填项为空创建活动码hq]",""
