"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 26 11:20:20 CST 2023","Fri May 26 11:20:42 CST 2023","21364","core.testcase","test_excel","","","","test_3[精准查询个人活动码hq]",""
"passed","Fri May 26 11:16:16 CST 2023","Fri May 26 11:16:20 CST 2023","4651","core.testcase","test_excel","","","","test_1[验证输入完整内容多条件查询]",""
"failed","Fri May 26 11:23:45 CST 2023","Fri May 26 11:24:00 CST 2023","15568","core.testcase","test_excel","","","","test_5[名称重复创建活动码hq]",""
"passed","Fri May 26 11:24:16 CST 2023","Fri May 26 11:24:37 CST 2023","20656","core.testcase","test_excel","","","","test_5[模糊查询活动码hq]",""
"passed","Fri May 26 11:22:43 CST 2023","Fri May 26 11:23:00 CST 2023","17127","core.testcase","test_excel","","","","test_4[精准查询门店活动码hq]",""
"passed","Fri May 26 11:18:46 CST 2023","Fri May 26 11:19:04 CST 2023","17443","core.testcase","test_excel","","","","test_2[验证席位管理主页完全导出功能hq]",""
"passed","Fri May 26 11:16:34 CST 2023","Fri May 26 11:16:38 CST 2023","3723","core.testcase","test_excel","","","","test_1[验证输入部分内容单条件模糊查询]",""
"passed","Fri May 26 11:17:01 CST 2023","Fri May 26 11:17:08 CST 2023","6355","core.testcase","test_excel","","","","test_1[验证雷达数据条件查询下拉列表不显示已删除雷达渠道选项]",""
"passed","Fri May 26 11:17:48 CST 2023","Fri May 26 11:17:57 CST 2023","8289","core.testcase","test_excel","","","","test_1[验证互动雷达主页导出功能]",""
"passed","Fri May 26 11:16:30 CST 2023","Fri May 26 11:16:34 CST 2023","4127","core.testcase","test_excel","","","","test_1[验证输入完整内容单条件查询]",""
"passed","Fri May 26 11:25:24 CST 2023","Fri May 26 11:25:34 CST 2023","10651","core.testcase","test_excel","","","","test_5[删除活动码hq]",""
"passed","Fri May 26 11:26:16 CST 2023","Fri May 26 11:26:25 CST 2023","8420","core.testcase","test_excel","","","","test_6[修改人群包]",""
"passed","Fri May 26 11:27:40 CST 2023","Fri May 26 11:27:47 CST 2023","6866","core.testcase","test_excel","","","","test_8[用户流失列表部分模糊查询hq]",""
"passed","Fri May 26 11:26:13 CST 2023","Fri May 26 11:26:16 CST 2023","3827","core.testcase","test_excel","","","","test_6[二次模糊查询人群包]",""
"passed","Fri May 26 11:15:34 CST 2023","Fri May 26 11:15:49 CST 2023","15613","core.testcase","test_excel","","","","test_1[雷达名称重复创建互动雷达]",""
"passed","Fri May 26 11:25:59 CST 2023","Fri May 26 11:26:04 CST 2023","5570","core.testcase","test_excel","","","","test_6[删除人群包]",""
"passed","Fri May 26 11:17:14 CST 2023","Fri May 26 11:17:20 CST 2023","5991","core.testcase","test_excel","","","","test_1[验证互动雷达主页操作栏删除功能]",""
"passed","Fri May 26 11:26:25 CST 2023","Fri May 26 11:26:29 CST 2023","3823","core.testcase","test_excel","","","","test_6[精确查询人群包]",""
"passed","Fri May 26 11:28:13 CST 2023","Fri May 26 11:28:19 CST 2023","6266","core.testcase","test_excel","","","","test_9[用户信息主页模糊查询hq]",""
"passed","Fri May 26 11:28:26 CST 2023","Fri May 26 11:28:36 CST 2023","9690","core.testcase","test_excel","","","","test_9[用户信息主页重置后查询hq]",""
"passed","Fri May 26 11:18:13 CST 2023","Fri May 26 11:18:29 CST 2023","16601","core.testcase","test_excel","","","","test_2[席位管理主页部分条件模糊查询hq]",""
"passed","Fri May 26 11:26:48 CST 2023","Fri May 26 11:26:56 CST 2023","7876","core.testcase","test_excel","","","","test_7[用户列表模糊查询hq]",""
"passed","Fri May 26 11:26:29 CST 2023","Fri May 26 11:26:33 CST 2023","3866","core.testcase","test_excel","","","","test_6[查询不存在的人群包]",""
"passed","Fri May 26 11:17:20 CST 2023","Fri May 26 11:17:38 CST 2023","17719","core.testcase","test_excel","","","","test_1[正常修改互动雷达]",""
