"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 31 09:44:11 CST 2023","Wed May 31 09:44:16 CST 2023","5872","core.testcase","test_excel","","","","test_6[批量删除人群包]",""
"passed","Wed May 31 09:43:27 CST 2023","Wed May 31 09:43:32 CST 2023","4085","core.testcase","test_excel","","","","test_6[模糊查询人群包]",""
"passed","Wed May 31 09:40:51 CST 2023","Wed May 31 09:41:06 CST 2023","14601","core.testcase","test_excel","","","","test_4[活动码名称不存在查询门店活动码hq]",""
"passed","Wed May 31 09:35:54 CST 2023","Wed May 31 09:36:11 CST 2023","17262","core.testcase","test_excel","","","","test_2[席位管理主页精确查询]",""
"passed","Wed May 31 09:45:51 CST 2023","Wed May 31 09:45:58 CST 2023","6911","core.testcase","test_excel","","","","test_8[用户流失列表不存在内容查询hq0]",""
"passed","Wed May 31 09:42:45 CST 2023","Wed May 31 09:43:00 CST 2023","14615","core.testcase","test_excel","","","","test_5[活动码名称不存在查询活动码hq]",""
"passed","Wed May 31 09:34:58 CST 2023","Wed May 31 09:35:06 CST 2023","7999","core.testcase","test_excel","","","","test_1[验证重置后查询]",""
"passed","Wed May 31 09:45:44 CST 2023","Wed May 31 09:45:51 CST 2023","7033","core.testcase","test_excel","","","","test_8[用户流失列表部分模糊查询hq]",""
"passed","Wed May 31 09:39:01 CST 2023","Wed May 31 09:39:17 CST 2023","15606","core.testcase","test_excel","","","","test_4[正常创建门店活动码hq]",""
"passed","Wed May 31 09:38:06 CST 2023","Wed May 31 09:38:21 CST 2023","15075","core.testcase","test_excel","","","","test_3[编辑个人活动码hq]",""
"passed","Wed May 31 09:44:07 CST 2023","Wed May 31 09:44:11 CST 2023","3559","core.testcase","test_excel","","","","test_6[查询不存在的人群包]",""
"passed","Wed May 31 09:43:42 CST 2023","Wed May 31 09:43:51 CST 2023","9073","core.testcase","test_excel","","","","test_6[删除后重新创建人群包]",""
"passed","Wed May 31 09:42:30 CST 2023","Wed May 31 09:42:45 CST 2023","15356","core.testcase","test_excel","","","","test_5[精准查询活动码hq]",""
"passed","Wed May 31 09:43:55 CST 2023","Wed May 31 09:44:03 CST 2023","8274","core.testcase","test_excel","","","","test_6[修改人群包]",""
"passed","Wed May 31 09:36:28 CST 2023","Wed May 31 09:36:45 CST 2023","16899","core.testcase","test_excel","","","","test_2[验证席位管理主页条件查询导出功能hq]",""
"passed","Wed May 31 09:33:50 CST 2023","Wed May 31 09:34:00 CST 2023","10630","core.testcase","test_excel","","","","test_1[验证输入部分内容多条件查询]",""
"passed","Wed May 31 09:31:13 CST 2023","Wed May 31 09:32:45 CST 2023","91712","core.testcase","test_excel","","","","test_1[正常创建互动雷达]",""
"passed","Wed May 31 09:38:37 CST 2023","Wed May 31 09:38:53 CST 2023","16229","core.testcase","test_excel","","","","test_3[活动码名称不存在查询个人活动码hq]",""
"passed","Wed May 31 09:34:17 CST 2023","Wed May 31 09:34:23 CST 2023","6131","core.testcase","test_excel","","","","test_1[验证输入部分内容单条件模糊查询]",""
"passed","Wed May 31 09:35:46 CST 2023","Wed May 31 09:35:54 CST 2023","8372","core.testcase","test_excel","","","","test_1[验证互动雷达主页导出功能]",""
"passed","Wed May 31 09:45:15 CST 2023","Wed May 31 09:45:28 CST 2023","13684","core.testcase","test_excel","","","","test_7[用户列表重置后查询hq]",""
"passed","Wed May 31 09:38:53 CST 2023","Wed May 31 09:39:01 CST 2023","8029","core.testcase","test_excel","","","","test_3[删除个人活动码hq]",""
"passed","Wed May 31 09:36:45 CST 2023","Wed May 31 09:37:03 CST 2023","17861","core.testcase","test_excel","","","","test_2[验证席位管理主页完全导出功能hq]",""
"passed","Wed May 31 09:44:37 CST 2023","Wed May 31 09:44:51 CST 2023","14050","core.testcase","test_excel","","","","test_7[用户列表模糊查询hq]",""
"passed","Wed May 31 09:37:03 CST 2023","Wed May 31 09:37:19 CST 2023","15808","core.testcase","test_excel","","","","test_3[正常创建个人活动码]",""
"passed","Wed May 31 09:41:06 CST 2023","Wed May 31 09:41:14 CST 2023","8189","core.testcase","test_excel","","","","test_4[删除门店活动码hq]",""
"passed","Wed May 31 09:46:24 CST 2023","Wed May 31 09:46:32 CST 2023","7881","core.testcase","test_excel","","","","test_9[用户信息主页重置后查询hq]",""
"passed","Wed May 31 09:43:22 CST 2023","Wed May 31 09:43:27 CST 2023","5488","core.testcase","test_excel","","","","test_6[创建空标签人群包]",""
"broken","Wed May 31 09:39:34 CST 2023","Wed May 31 09:40:05 CST 2023","31670","core.testcase","test_excel","","","","test_4[必填项为空创建门店活动码hq]",""
"failed","Wed May 31 09:37:19 CST 2023","Wed May 31 09:37:37 CST 2023","17801","core.testcase","test_excel","","","","test_3[名称重复创建个人活动码hq]",""
"passed","Wed May 31 09:43:32 CST 2023","Wed May 31 09:43:42 CST 2023","10704","core.testcase","test_excel","","","","test_6[删除人群包]",""
"passed","Wed May 31 09:44:03 CST 2023","Wed May 31 09:44:07 CST 2023","3685","core.testcase","test_excel","","","","test_6[精确查询人群包]",""
"passed","Wed May 31 09:44:51 CST 2023","Wed May 31 09:45:00 CST 2023","8880","core.testcase","test_excel","","","","test_7[用户列表部分内容模糊查询hq]",""
"passed","Wed May 31 09:35:06 CST 2023","Wed May 31 09:35:12 CST 2023","6249","core.testcase","test_excel","","","","test_1[验证互动雷达主页操作栏删除功能]",""
