"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 06 18:53:20 CST 2023","Sat May 06 18:53:30 CST 2023","10110","core.testcase","test_excel","","","","test_4[删除门店活动码]",""
"broken","Sat May 06 18:51:54 CST 2023","Sat May 06 18:52:17 CST 2023","23154","core.testcase","test_excel","","","","test_4[必填项为空创建门店活动码]",""
"passed","Sat May 06 18:56:33 CST 2023","Sat May 06 18:56:38 CST 2023","5514","core.testcase","test_excel","","","","test_6[精确查询人群包]",""
"passed","Sat May 06 18:53:30 CST 2023","Sat May 06 18:53:49 CST 2023","18878","core.testcase","test_excel","","","","test_5[正常创建活动码]",""
"passed","Sat May 06 18:47:41 CST 2023","Sat May 06 18:47:46 CST 2023","4755","core.testcase","test_excel","","","","test_1[验证输入部分内容单条件模糊查询]",""
"passed","Sat May 06 18:51:12 CST 2023","Sat May 06 18:51:21 CST 2023","9283","core.testcase","test_excel","","","","test_3[删除个人活动码]",""
"passed","Sat May 06 18:48:13 CST 2023","Sat May 06 18:48:21 CST 2023","7968","core.testcase","test_excel","","","","test_1[验证雷达数据条件查询下拉列表不显示已删除雷达渠道选项]",""
"passed","Sat May 06 18:54:20 CST 2023","Sat May 06 18:54:37 CST 2023","17452","core.testcase","test_excel","","","","test_5[模糊查询活动码]",""
"passed","Sat May 06 18:56:07 CST 2023","Sat May 06 18:56:16 CST 2023","9689","core.testcase","test_excel","","","","test_6[删除后重新创建人群包]",""
"passed","Sat May 06 18:46:59 CST 2023","Sat May 06 18:47:09 CST 2023","10335","core.testcase","test_excel","","","","test_1[二次创建互动雷达]",""
"passed","Sat May 06 18:50:11 CST 2023","Sat May 06 18:50:26 CST 2023","15038","core.testcase","test_excel","","","","test_3[模糊查询个人活动码]",""
"passed","Sat May 06 18:49:09 CST 2023","Sat May 06 18:49:18 CST 2023","8811","core.testcase","test_excel","","","","test_1[验证互动雷达主页导出功能]",""
"passed","Sat May 06 18:49:02 CST 2023","Sat May 06 18:49:09 CST 2023","7120","core.testcase","test_excel","","","","test_1[验证删除修改后的互动雷达功能]",""
"passed","Sat May 06 18:52:48 CST 2023","Sat May 06 18:53:04 CST 2023","16097","core.testcase","test_excel","","","","test_4[精准查询门店活动码]",""
"passed","Sat May 06 18:52:17 CST 2023","Sat May 06 18:52:32 CST 2023","14637","core.testcase","test_excel","","","","test_4[模糊查询门店活动码]",""
"passed","Sat May 06 18:47:09 CST 2023","Sat May 06 18:47:14 CST 2023","4704","core.testcase","test_excel","","","","test_1[必填项为空创建互动雷达]",""
"passed","Sat May 06 18:48:29 CST 2023","Sat May 06 18:48:36 CST 2023","7145","core.testcase","test_excel","","","","test_1[验证互动雷达主页操作栏删除功能]",""
"passed","Sat May 06 18:52:32 CST 2023","Sat May 06 18:52:48 CST 2023","16225","core.testcase","test_excel","","","","test_4[编辑门店活动码]",""
"passed","Sat May 06 18:50:56 CST 2023","Sat May 06 18:51:12 CST 2023","16445","core.testcase","test_excel","","","","test_3[活动码名称不存在查询个人活动码]",""
"passed","Sat May 06 18:56:38 CST 2023","Sat May 06 18:56:44 CST 2023","5262","core.testcase","test_excel","","","","test_6[查询不存在的人群包]",""
"failed","Sat May 06 18:53:49 CST 2023","Sat May 06 18:54:07 CST 2023","17648","core.testcase","test_excel","","","","test_5[名称重复创建活动码]",""
"passed","Sat May 06 18:54:37 CST 2023","Sat May 06 18:54:54 CST 2023","16799","core.testcase","test_excel","","","","test_5[编辑活动码]",""
"passed","Sat May 06 18:50:26 CST 2023","Sat May 06 18:50:41 CST 2023","14502","core.testcase","test_excel","","","","test_3[编辑个人活动码]",""
"passed","Sat May 06 18:47:14 CST 2023","Sat May 06 18:47:20 CST 2023","6598","core.testcase","test_excel","","","","test_1[检验输入框输入内容限制]",""
"passed","Sat May 06 18:49:28 CST 2023","Sat May 06 18:49:45 CST 2023","16898","core.testcase","test_excel","","","","test_3[正常创建个人活动码]",""
"passed","Sat May 06 18:47:46 CST 2023","Sat May 06 18:47:55 CST 2023","9561","core.testcase","test_excel","","","","test_1[验证添加雷达渠道功能]",""
"passed","Sat May 06 18:50:00 CST 2023","Sat May 06 18:50:11 CST 2023","11413","core.testcase","test_excel","","","","test_3[必填项为空创建个人活动码]",""
"passed","Sat May 06 18:53:04 CST 2023","Sat May 06 18:53:20 CST 2023","15815","core.testcase","test_excel","","","","test_4[活动码名称不存在查询门店活动码]",""
"passed","Sat May 06 18:55:12 CST 2023","Sat May 06 18:55:29 CST 2023","17433","core.testcase","test_excel","","","","test_5[活动码名称不存在查询活动码]",""
"failed","Sat May 06 18:51:38 CST 2023","Sat May 06 18:51:54 CST 2023","15403","core.testcase","test_excel","","","","test_4[名称重复创建门店活动码]",""
"passed","Sat May 06 18:47:36 CST 2023","Sat May 06 18:47:41 CST 2023","4809","core.testcase","test_excel","","","","test_1[验证输入完整内容单条件查询]",""
"passed","Sat May 06 18:47:21 CST 2023","Sat May 06 18:47:26 CST 2023","5263","core.testcase","test_excel","","","","test_1[验证输入完整内容多条件查询]",""
"failed","Sat May 06 18:49:45 CST 2023","Sat May 06 18:50:00 CST 2023","14726","core.testcase","test_excel","","","","test_3[名称重复创建个人活动码]",""
"passed","Sat May 06 18:55:57 CST 2023","Sat May 06 18:56:07 CST 2023","9768","core.testcase","test_excel","","","","test_6[删除人群包]",""
